Id,AreaId,District,Latitude,Longitude
115,455,Stadskärnan,55.703847,13.188387
116,455,Norra innerstaden,55.707748,13.197574
117,455,Södra innerstaden,55.699894,13.193742
118,455,Professorsstaden,55.70523,13.20604
119,455,Klostergården,55.6911111111111,13.18
120,455,Gastelyckan,55.692944,13.218362
121,455,Nilstorp,55.6916666666667,13.1972222222222
122,455,Råbyholm,55.690212,13.194557
123,455,Råbylund,55.691528,13.240325
124,455,Sankt Lars,55.685,13.1805555555556
125,455,Stampelyckan,55.700068,13.208272
126,455,Brunnshög,55.7247222222222,13.2305555555556
127,455,Linero,55.6944444444444,13.2422222222222
128,455,Mårtens fälad,55.703703,13.232639
129,455,Norränga,55.693105,13.241561
130,455,Tuna,55.7044444444444,13.2158333333333
131,455,Östra Torn,55.711803,13.232148
132,486,Dammfri,55.5916666666667,12.9802777777778
133,486,Fridhem,55.5980555555556,12.9661111111111
134,486,Hästhagen,55.5980555555556,12.9933333333333
135,486,Kronborg,55.5925,12.9863888888889
136,486,Kronprinsen,55.5986111111111,12.9852777777778
137,486,Malmö IP,55.595,12.9955555555556
138,486,Mellanheden,55.59,12.9666666666667
139,486,Pildammsparken,55.5902777777778,12.9922222222222
140,486,Pildammsteatern,55.5880555555556,12.9927777777778
141,486,Ribersborg,55.6011111111111,12.9769444444444
142,486,Ribersborgs kallbadhus,55.605166,12.965519
143,486,Ribersborgsstranden,55.6008333333333,12.9586111111111
144,486,Rönneholm,55.5955555555556,12.9758333333333
145,486,Solbacken,55.5877777777778,12.9758333333333
146,486,Teatern ,55.5955555555556,12.995
147,486,Västervång,55.595,12.9608333333333
148,486,Västra Innerstaden,55.5958333333333,12.975
149,486,Annelund,55.5891666666667,13.0225
150,486,Flensburg,55.5822222222222,13.0022222222222
151,486,Lönngården,55.5825,13.0241666666667
152,486,Mobilia köpcentrum,55.5805555555556,13.0036111111111
153,486,Möllevången,55.5922222222222,13.0097222222222
154,486,Seved,55.5828277777778,13.0153
155,486,Sofielund,55.5861111111111,13.0244444444444
156,486,Södervärn,55.5869444444444,13.0080555555556
157,486,Södra Innerstaden,55.5916666666667,13.0083333333333
158,486,Universitetssjukhuset Mas,55.5880555555556,13.0025
159,486,Västra Sorgenfri,55.5988888888889,13.0144444444444
160,486,Östra Sorgenfri,55.5930555555556,13.0263888888889
161,486,Apelgården,55.5886111111111,13.0427777777778
162,486,Culture Casbah,55.5861111111111,13.0444444444444
163,486,Emilstorp,55.5938888888889,13.0355555555556
164,486,Herrgården,55.5813888888889,13.0505555555556
165,486,Kinesiska muren,55.5886111111111,13.0536111111111
166,486,Kryddgården,55.5872222222222,13.0530555555556
167,486,Persborg,55.5819444444444,13.0313888888889
168,486,Törnrosen,55.5869444444444,13.0327777777778
169,486,Västra Kattarp,55.5794444444444,13.0388888888889
170,486,Örtagården,55.5841666666667,13.0405555555556
171,486,Östra kyrkogården,55.5936111111111,13.0452777777778
172,486,Glostorp,55.525,13.0402777777778
173,486,Kristineberg,55.5444444444444,13.075
174,486,Krumby,55.5255555555556,13.065
175,486,Kungshög,55.5538888888889,13.0813888888889
176,486,Käglinge,55.5319444444444,13.0777777777778
177,486,Lockarp,55.5416666666667,13.0416666666667
178,486,Oxie,55.5408333333333,13.0930555555556
179,486,Oxie Idrottsplats,55.5455555555556,13.0947222222222
180,486,Oxie kyrkby,55.5486111111111,13.0986111111111
181,486,Oxievång,55.5375,13.0986111111111
182,486,Tycho Brahe-observatoriet,55.54268,13.08428
183,486,Amiralsgatan,55.5896166666667,13.0325861111111
184,486,Centralposthuset,55.61002,12.99885
185,486,Dahlgrenska stiftelsen,55.6043611111111,13.0156111111111
186,486,Davidshall,55.5988888888889,12.9983333333333
187,486,Djäknegatshusen,55.6058333333333,13.0041666666667
188,486,Drottningtorget,55.6081388888889,13.0098333333333
189,486,Ellstorp,55.6036111111111,13.0305555555556
190,486,Form/Design Center,55.6044444444444,12.9991666666667
